Title,Publication Year,Journal Name,DOI
Shifts in trends and correlation of water scarcity and productivity over China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131187
"Screening of pharmaceuticals and personal care products in the water environment of a region diversified in land use and urban development (Silesian Province, southern Poland)",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131191
Pore-scale study of the dynamic evolution of multi-phase seepage parameters during hydrate dissociation in clayey silt hydrate-bearing sediments,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131178
Revealing nitrate uptake and dispersion dynamics using high-frequency sensors and two-dimensional modeling in a large river system,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104693
Optimizing the quantity of recharge water into a sedimentary aquifer through infiltration galleries using a surrogate assisted coupled simulation–optimization approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131183
The bidirectional dependency between global water resources and vegetation productivity,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131160
Areal reduction factors from gridded data products,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131177
High-resolution hydro-sediment-morphodynamic modelling of a meandering river reach with mid-channel bars on multiyear timescales: A case study of Shashi Reach in Middle Yangtze River,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131167
"Characterizing future changes in compound flood risk by capturing the dependence between rainfall and river flow: An application to the Yangtze River Basin, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131175
Analytical solutions for freshwater lenses in stratified riparian aquifers,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131089
Improving modeling of submerged canopy flows with a vortex-based Spalart–Allmaras model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131174
Spatio-temporal variations of lacustrine groundwater discharge and related nutrient fluxes in a typical lake in front of hillocks,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131166
Real-time flood maps forecasting for dam-break scenarios with a transformer-based deep learning model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131169
Enhanced understanding of subgrade soil hydraulic characteristics: Effects of wetting–drying cycles and stress states on subgrade water migration,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131165
The hydrologic nature of swales uncovers remarkable influence of non-topographic factors on catchment-scale soil moisture variation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131196
Cluster-based local modeling (CBLM) paradigm meets deep learning: A novel approach to soil moisture estimation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131161
Snow depth time series Generation: Effective simulation at multiple time scales,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100177
The response mechanism of transversal mixing of dissolved oxygen to the evolution of secondary flow at the confluence,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131184
The impact of deep glacial water diversions from a hydroelectric reservoir in the thermal dynamics of a sub-arctic lake,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131081
Geogenic and anthropogenic impacts on phosphorus enrichment in groundwater around China's largest freshwater lake,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131154
Assessment of the hydrological impact of an hourly precipitation distribution correction method in the SASER modeling system,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131136
Threshold-based flood early warning in an urbanizing catchment through multi-source data integration: Satellite and citizen science contribution,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131076
Effect of oasis and irrigation on mountain precipitation in the northern slope of Tianshan Mountains based on stable isotopes,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131151
Abatement and transaction costs of water reallocation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131119
A robust decision-making framework to improve reservoir water quality using optimized selective withdrawal strategies,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131153
The standardized precipitation evapotranspiration index based on cumulative effect attenuation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131148
Hydrologic Evaluation of the Global Precipitation Measurement Mission over the U.S.: Effect of Spatial and Temporal Scales,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131134
Spatiotemporal pattern of glacier mass balance in the Tibetan Plateau interior area over the past 40 years,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131200
"What can we learn from long hydrological time-series? The case of rainfall data at Collegio Romano, Rome, Italy",2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100176
Relative contribution from different water sources to supraglacial runoff in western Himalaya,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131137
Surrogate model for geological CO<inf>2</inf> storage and its use in hierarchical MCMC history matching,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104678
A novel framework for assessment of human impact of floods: Demonstrated for the Indian subcontinent,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131110
A multi-model evaluation of probabilistic streamflow predictions via residual error modelling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131152
"Surface and subsurface flow of a glacierised catchment in the cold-arid region of Ladakh, Trans-Himalaya",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131063
Young trees share soil water with wheat in an alley-cropping system in a wet crop year: Evidence from <sup>2</sup>H<inf>2</inf>O artificial labeling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131021
Microscopic occurrence of primary water in carbonate gas reservoirs with fractures and vugs and its effect on water invasion mechanism,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131087
Real time probabilistic inundation forecasts using a LSTM neural network,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131082
Fluid flow and solute transport simulations in tight geologic formations: Discrete fracture network and continuous time random walk analyses,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131109
Integrated monitoring method of flood free surface and surface velocity in a laboratory compound channel,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131149
Remote Sensing Technologies for Unlocking New Groundwater Insights: A Comprehensive Review,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100175
Simulation of two-phase flow in 3D fractured reservoirs using a projection-based Embedded Discrete Fracture Model on Unstructured tetrahedral grids (pEDFM-U),2024,Advances in Water Resources,10.1016/j.advwatres.2024.104679
Assessing the impacts of ice penetration on monitoring water levels of high-latitude and -altitude lakes from CryoSat-2 altimetry,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131147
Quantifying the long-term changes of terrestrial water storage and their driving factors,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131096
Estimating soil hydraulic properties from oven-dry to full saturation using shortwave infrared imaging and inverse modeling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131132
Simulating earth deformation evolution caused by groundwater pumping through ordinary state-based Peridynamics method,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131133
Natural and anthropogenic influences on sterol geochemical characteristics in lake sediments and implications for using sterols as paleoenvironmental indicators,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131146
Uncertainties in physical and tracer methods in actual groundwater recharge estimation in the thick loess deposits of China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131127
Seawater intrusion physical models: A bibliometric analysis and review of mitigation strategies,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131135
Reactive contaminant infiltration under dynamic preferential flow,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131111
Improved hydrological modelling and ET estimation in watershed with irrigation interference,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131108
How effective is twitter (X) social media data for urban flood management?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131129
Coupling the remote sensing data-enhanced SWAT model with the bidirectional long short-term memory model to improve daily streamflow simulations,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131117
Monitoring spatio-temporal variations of terrestrial water storage changes and their potential influencing factors in a humid subtropical climate region of Southeast China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131095
Non-inferior solutions for virtual water strategies: Model development and a case study in northern China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131124
Contribution of standardized indexes to understand groundwater level fluctuations in response to meteorological conditions in cold and humid climates,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131105
Reduction in the ratio of stemflow to rainfall during heavy rain in two Japanese cedar stands and the influence on rainfall partitioning,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131100
"Regulatory effects of non-growing season precipitation on the community structure, biomass allocation, and water-carbon utilization in a temperate desert steppe",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131112
Experimental and numerical investigations on soil–water dynamics in Moistube irrigation under dynamically regulated working pressure heads: scenario simulations under maize cultivation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131083
Streamflow response to catastrophic windthrow and forest recovery in subalpine spruce forest,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131078
Reconstructing monthly 0.25° terrestrial evapotranspiration data in a remote arid region using Bayesian-driven ensemble learning method,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131115
"Modeling the flood protection services of levee setbacks, a nature-based solution",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131106
Climate change effects on rainfall extreme value distribution: the role of skewness,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130958
Variation in preferential flow features induced by desiccation cracks in physical crusts,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131118
ENSO weakens the co-variability between the spring persistent rains and Asian summer monsoon: Evidences from tree-ring data in southeastern China,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131080
A cost-benefit ‘source-receptor’ framework for implementation of Blue-Green flood risk management,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131113
Introducing a transition domain for describing the solute exchange between macropores/fractures and matrix in dual-permeability system,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131130
Ostwald ripening of gas bubbles in porous media: Impact of pore geometry and spatial bubble distribution,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104688
Infrastructural lock-ins in the temporal and spatial development of a long-distance water transfer in Germany,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131070
Using satellite imagery to estimate CO<inf>2</inf> partial pressure and exchange with the atmosphere in the Songhua River,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131074
Salinity mixing in a tidal multi-branched estuary with huge and variable runoff,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131094
"A dynamic von Mises-based model to evaluate the impact of urbanization and climate change on flood timing in Yangtze and Huaihe River Basins, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131120
A fast physically-guided emulator of MATSIRO land surface model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131093
Water-carbon-sediment synergies and trade-offs: Multi-faceted impacts of large-scale ecological restoration in the Middle Yellow River Basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131099
Predictability of monthly streamflow by considering complexity measures,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131103
Hydrodynamic effects and water environment improvement of topographic reconstruction in shallow lakes,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131125
Spatio-temporal multivariable time vario-zoom network for water level forecasting based on high-resolution hydrological dataset,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131060
"Spatial distribution, sources, and human health risk assessment of elevated nitrate levels in groundwater of an agriculture-dominant coastal area in Hainan Island, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131088
A hybrid self-adaptive DWT-WaveNet-LSTM deep learning architecture for karst spring forecasting,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131128
Influence of the spatial resolution of Digital Elevation Models on water-balance estimations in temporary shallow lakes,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131098
Investigating the influences of wind function parameterization on evaporation estimation using the generalized complementary principle,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131097
A new nonparametric copula framework for the joint analysis of river water temperature and low flow characteristics for aquatic habitat risk assessment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131079
Data-driven urban waterlogging risk management approach considering efficiency-equity trade-offs and risk mitigation capability evaluation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131004
Hydro-economic basin impacts of extensive adoption of deficit irrigation by farmers: Are we overestimating water resources?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131075
"Forecasting regional water demand using multi-fidelity data and harris hawks optimization of generalized regression neural network models – A case study of Heilongjiang Province, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131084
Novel hybrid intelligence predictive model based on successive variational mode decomposition algorithm for monthly runoff series,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131041
A quantitative study of changing groundwater-surface water interactions of a large reservoir due to impoundment based on hydrochemistry and isotope characteristics,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131092
"Effects of multiple future environmental changes on flooding in coastal area: Case study in Qianshan River Basin, South China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131116
Leveraging deep learning with progressive growing GAN and ensemble smoother with multiple data assimilation for inverse modeling,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104680
"Hydrogeological structures of karst features using hydrographs in an underground river basin formed in a peak cluster depression, southwest China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131085
On the existence of multiple states of low flows in catchments in southeast Australia,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104675
Investigation of rainfall disaggregation with flexible timescales based on point process models,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131101
Changes in preferential flow caused by root effects in black locust plantations of different stand ages in the semi-arid region of the Loess Plateau,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131086
Unleashing the power of machine learning and remote sensing for robust seasonal drought monitoring: A stacking ensemble approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131102
"Hydrochemical characteristics and environmental indicators of aquitards since the Late Cenozoic on Sunshine Island, Jiangsu Province, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131114
Climate change reshapes bioclimatic environments in China's dry–wet transition zones,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131122
Modeling the effects of the plastic-mulched cropland over the arid and semi-arid areas of China on the East Asian regional climate,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131123
Modeling hydraulic conductivity function of frozen soil,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131049
Characterization of conductivity fields through iterative ensemble smoother and improved correlation-based adaptive localization,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131054
A newly developed multi-objective evolutionary paradigm for predicting suspended sediment load,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131090
Confined aquifer dewatering optimization with a modified simulation–optimization method capable of determining the optimal well screen length and depth,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131039
Quick large-scale spatiotemporal flood inundation computation using integrated Encoder-Decoder LSTM with time distributed spatial output models,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130993
Assessing vegetation resilience and vulnerability to drought events in Central Asia,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131012
Analytical solution for steady vertical flux through unsaturated soils based on van Genuchten-Mualem model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131066
"Convolution, deconvolution, the unit hydrograph and flood routing",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131034
Soil contaminants pose delayed but pervasive threat to shallow groundwater,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130994
Soil moisture disaggregation via coupling geographically weighted regression and radiative transfer model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131053
Low-cost “buffer” structural measure for flooding risk reduction in irrigation reservoirs,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131017
Coupled heat and water transfer in heterogeneous and deformable soils: Numerical model using mixed finite element method,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131068
Salt dynamic changes between seawater and phreatic brine in muddy tidal flats under tidal influence,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131044
The performance of IMERG near-real-time estimations during the record-breaking Meiyu season in 2020,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131024
Long-term changes in water quality downstream of three abandoned metal mines,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131011
"Allocation of reservoirs sites for runoff management towards sustainable water resources: Case study of Harirud River Basin, Afghanistan",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131042
Spatiotemporal pattern of successive hydro-hazards and the influence of low-frequency variability modes over Canada,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131057
Advancing objective functions in hydrological modelling: Integrating knowable moments for improved simulation accuracy,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131071
"Anthropogenic activities alter the hydrological process of submarine groundwater discharge in a coastal area of Shanghai City, China",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130996
Prediction of movable bed resistance in open channels with dune forms incorporating the effects of flow separation and water temperature,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131073
Heterogeneity and influencing factors of algal blooms in the reservoir-impacted tributary: Evidence from remote sensing and physical-based model,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131058
Regional scale evaluation of nitrate fluctuations in groundwater using cluster analysis and standardised hydrometeorological indices,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131052
Effect of rainfall characteristics on the transport of trace metals in suspended particles during rainfall events,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131062
Multiple isotopes reveal the impact of land use change on nitrate transport and transformation in deep loess deposits,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131056
"Effects of multi-year droughts on the precipitation-runoff relationship: An integrated analysis of meteorological, hydrological, and compound droughts",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131064
Australian non-perennial rivers: Global lessons and research opportunities,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130939
Hydrological model skills change with drought severity; insights from multi-variable evaluation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131023
Neglecting hydrological errors can severely impact predictions of water resource system performance,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130853
Urban pluvial flood modelling in the absence of sewer drainage network data: A physics-based approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131043
Exploring the food-energy-water nexus in coupled natural-human systems under climate change with a fully integrated agent-based modeling framework,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131048
Characterization of groundwater drought and understanding of climatic impact on groundwater resources in Korea,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131014
Numerical impact of variable volumes of Monte Carlo simulations of heterogeneous conductivity fields in groundwater flow models,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131072
Response of blue-green water to climate and vegetation changes in the water source region of China's South-North water Diversion Project,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131061
Insight into glacio-hydrologicalprocesses using explainable machine-learning (XAI) models,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131047
Human interventions alter morphodynamics of meandering channels: Insights from decadal to pre-industrial observations in the Yangtze River,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131067
A novel land surface temperature reconstruction method and its application for downscaling surface soil moisture with machine learning,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131051
What drives uncertainty surrounding riverine flood risks?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131055
A new 2D ESPH bedload sediment transport model for rapidly varied flows over mobile beds,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131002
Sediment sorting and transport mechanism controlled by both soil properties and hydraulic parameters on hillslopes,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131069
Interspecies variation in plant surface water storage capacity in alpine meadows: Prediction based on plant ecological strategies,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131038
Using natural gas content of groundwater to improve the understanding of complex thermo-mineral spring systems,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130956
A novel efficient and robust treatment of the friction source term in 2D shallow water inundation models,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131045
Heterogeneity in post-fire thermal responses across Pacific Northwest streams: A multi-site study,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100173
"Corrigendum to “Deep and shallow groundwater borne lithium and boron loadings to a mega brine lake in Qinghai Tibet Plateau based on multi-tracer models” [J. Hydrol. 598 (2021) 126313] (S0022169421003607), (10.1016/j.jhydrol.2021.126313)",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131150
"Temporal dynamics of inundation area, hydrochemistry and brine in Bakhtegan Lake, South-Central Iran",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101714
"Flooding in the Yellow River Basin, China: Spatiotemporal patterns, drivers and future tendency",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101706
Enhancing the capabilities of the Chao Phraya forecasting system through the integration of pre-processed numerical weather forecasts,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101737
"Distinct geographical and seasonal signals in two tree-ring based streamflow reconstructions from Tasmania, southeastern Australia",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101736
Dynamics of atmospheric water resources over the Yangtze River Basin: Historical patterns and future projections,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101745
"Analyzing hydrological alteration and environmental flows in a highly anthropized agricultural river basin system using SWAT+, WEAP and IAHRIS",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101738
How accurate are the machine learning models in improving monthly rainfall prediction in hyper arid environment?,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131040
Evaluating soil moisture simulations from a national-scale gridded hydrological model over Great Britain,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101735
Numerical groundwater flow modeling under future climate change in the Central Rift Valley Lakes Basin; Ethiopia,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101733
A novel framework for feature simplification and selection in flood susceptibility assessment based on machine learning,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101739
Distinct response of deep and shallow geothermal reservoir temperature following earthquakes in the Kangding Fault zone hydrothermal system,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101743
Reconstruction of missing streamflow series in human-regulated catchments using a data integration LSTM model,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101744
Rolling predictive control of tandem multi-canal pools based on water level elasticity intervals: A case study of the South-North water diversion middle route project,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101740
An efficient 2-D flood inundation modelling based on a data-driven approach,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101741
Pore-scale investigation of solute dispersion behavior in porous media under a two-phase co-flow condition,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104664
Improving modelled streamflow using time-varying multivariate assimilation of remotely sensed soil moisture and in-situ streamflow observations,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104676
Polynomial chaos enhanced by dynamic mode decomposition for order-reduction of dynamic models,2024,Advances in Water Resources,10.1016/j.advwatres.2024.104677
Low flows from drought and water use reduced total dissolved solids fluxes in the Lower Colorado River Basin between 1976 to 2008,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101673
"New insights into the flow dynamics of a deep freshwater aquifer in the semi-arid and saline Cuvelai-Etosha Basin, Northern Namibia: Results of a multi-environmental tracer study",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101721
PDFID: A high-resolution flood inundation dataset with a long time series,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101715
"Characterization of periods of high and low hydrological activity in the Loire River, France, between the 14th and mid-19th centuries",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130932
"Sensitivities of hydrological processes under climate warming and Landuse/landcover change in the Lhasa basin, Tibetan plateau",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101731
Quantifying the effects of future environmental changes on water supply and hydropower generation benefits of cascade reservoirs in the Yellow River Basin within the framework of reservoir water supply and demand uncertainty,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101729
Using spot flow measurements in a regionalized hydrological model to improve the low flow statistical estimations of rivers: The case of Réunion Island,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101730
Multi-scale EO-based agricultural drought monitoring indicator for operative irrigation networks management in Italy,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101732
"Comparison of IDW, Kriging and orographic based linear interpolations of rainfall in six rainfall regimes of Ethiopia",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101696
Exploring denoising diffusion probabilistic model for daily streamflow gap filling in Central Asia typical watersheds,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101701
"Is groundwater running out in the Western Cape, South Africa? Evaluating GRACE data to assess groundwater storage during droughts",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101699
Spatial heterogeneity of watershed runoff sensitivity to climate and underlying surface changes in humid and sub-humid climates in China,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101702
Stepwise clustering ensemble downscaling for future drought prediction under climate change: A case study of the Yangtze River Basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131005
Geochemistry of high temperature initial geothermal fluids in the Dabie orogenic belt,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131026
A novel multi-scale standardized index analyzing monthly to sub-seasonal drought-flood abrupt alternation events in the Yangtze River basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130999
Isotope data-constrained hydrological model improves soil moisture simulation and runoff source apportionment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131006
Efficiency of global precipitation datasets in tropical and subtropical catchments revealed by large sampling hydrological modelling,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131016
Analysis of seepage failure probability for high core rockfill dams during rapid drawdown of reservoir water level,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131046
Identifying components and controls of streamflow in a cold and arid headwater catchment,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131022
Numerical estimation of the equivalent hydraulic conductivity for canal concrete lining with cracks,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131050
Increasingly frequent co-occurrence of drought or pluvial in multiple tributaries of the Yangtze River basin,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131035
Source fingerprinting sediment loss from sub-catchments and topographic zones using geochemical tracers and weathering indices,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131019
Superior performance of hybrid model in ungauged basins for real-time hourly water level forecasting – A case study on the Lancang-Mekong mainstream,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130941
Bayesian hybrid-kernel machine-learning-assisted sensitivity analysis and sensitivity-relevant inverse modeling for groundwater DNAPL contamination,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131009
Urban inundation rapid prediction method based on multi-machine learning algorithm and rain pattern analysis,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131059
Spatially resolved glacial meltwater retainment in glacial lakes exerts increasing impacts in High Mountain Asia,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130967
Monitoring surface-water connectivity in a coastal lowland river using field-based data loggers,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130972
Coordinated development evaluation and diagnosis of regional water resources-social economy-ecological environment system based on mechanical model and risk matrix,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131013
"Geothermal fluid chemistry and isotope for interpreting the formation of complex geothermal system in the Gonghe Basin, northeastern Tibetan Plateau",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130813
Tracking shallow and deep groundwater storage changes in North China Plain with improved fusion method and hybrid spectral analysis approach,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131001
Stronger exacerbation of extreme rainfall at the hourly than daily scale by urbanization in a warming climate,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131025
"Integrating socio-hydrology, and peace and conflict research",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.131000
Next to or through your house?: Comparison of statistical and spatial results to understand the effects of DEM resolution on stream delineation,2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130976
"Assessing the resilience of stormwater ponds under climate change: A case study on Grace Lake, Florida, unveiling flood control and water quality implications",2024,Journal of Hydrology,10.1016/j.jhydrol.2024.130987
